Scaffold	Refined scaffold	Scaffold start	Scaffold end	Chr	Pseudo start	Pseudo end	Scaffold Orientation
scaffold1036	scaffold1036	1	75397	11	17531315	17606711	+
scaffold1036	scaffold1036	75445	248336	11	17606712	17779603	+
scaffold472	scaffold472c	995595	1080742	11	1	85148	-
scaffold472	scaffold472c	377423	995572	11	85149	703298	-
scaffold472	scaffold472c	377278	377367	11	703299	703388	-
scaffold114	scaffold114	227816	255103	15	7218862	7246149	-
scaffold114	scaffold114	159170	227767	15	7246150	7314747	-
scaffold114	scaffold114	1	159150	15	7314748	7473897	-
scaffold783	scaffold783a	1	208453	11	17804604	18013056	+
scaffold637	scaffold637	1	217380	8	6064430	6281809	+
scaffold420	scaffold420b	416296	774241	13	4199864	4557809	-
scaffold420	scaffold420b	306076	416252	13	4557810	4667986	-
scaffold420	scaffold420b	262985	306057	13	4667987	4711059	-
scaffold420	scaffold420b	184013	262963	13	4711060	4790010	-
scaffold563	scaffold563	1	291115	15	6511675	6802789	-
scaffold440	scaffold440	1	428742	8	12123842	12552583	-
scaffold292	scaffold292d	1123020	1531882	12	18172925	18581787	-
scaffold76	scaffold76b	502622	1668680	1	1	1166059	-
scaffold346	scaffold346	1	171440	14	645115	816554	+
scaffold346	scaffold346	171460	201869	14	816555	846964	+
scaffold346	scaffold346	201928	738728	14	846965	1383765	+
scaffold346	scaffold346	738758	971404	14	1383766	1616412	+
scaffold346	scaffold346	971447	1128327	14	1616413	1773293	+
scaffold346	scaffold346	1128364	1144514	14	1773294	1789444	+
scaffold641	scaffold641	171583	795572	10	17051420	17675409	-
scaffold641	scaffold641	1	171542	10	17675410	17846951	-
scaffold325	scaffold325b	371637	627103	3	21510962	21766428	-
scaffold325	scaffold325b	112913	371587	3	21766429	22025103	-
scaffold325	scaffold325b	15294	112888	3	22025104	22122698	-
scaffold1037	scaffold1037b	208701	440606	7	2731202	2963107	-
scaffold303	scaffold303	206927	803632	4	17164660	17761365	-
scaffold303	scaffold303	1	206904	4	17761366	17968269	-
scaffold1072	scaffold1072	1	271522	8	19089252	19360773	+
scaffold313	scaffold313	1	27329	8	8529685	8557013	+
scaffold313	scaffold313	27372	235980	8	8557014	8765622	+
scaffold33	scaffold33b	624671	1808392	10	2869523	4053244	+
scaffold256	scaffold256c	113845	250008	3	14015355	14151518	-
scaffold92	scaffold92	1	8517	2	11335378	11343894	+
scaffold92	scaffold92	8566	311966	2	11343895	11647295	+
scaffold1356	scaffold1356	1	281061	14	5402579	5683639	+
scaffold19	scaffold19c	1201220	1252893	12	10737834	10789507	-
scaffold19	scaffold19c	828244	1201180	12	10789508	11162444	-
scaffold57	scaffold57a	1	1574566	11	6913633	8488198	-
scaffold108	scaffold108	677412	839948	2	18903952	19066488	-
scaffold108	scaffold108	262897	677369	2	19066489	19480961	-
scaffold108	scaffold108	1	262879	2	19480962	19743840	-
scaffold689	scaffold689	1	280615	13	6018097	6298711	-
scaffold391	scaffold391	1	264632	9	9101284	9365915	-
scaffold1603	scaffold1603	1	274107	6	12633740	12907846	+
scaffold77	scaffold77a	1	415554	14	3145957	3561510	-
scaffold2057	scaffold2057	1	208950	5	1382108	1591057	-
scaffold58	scaffold58	1	81034	11	9755631	9836664	-
scaffold2860	scaffold2860	1	30977	8	17530134	17561110	+
scaffold437	scaffold437	1	181478	7	17558851	17740328	-
scaffold596	scaffold596a	1	129477	13	9756358	9885834	-
scaffold617	scaffold617d	972001	1061552	13	20393955	20483506	+
scaffold179	scaffold179	1	621970	2	1810758	2432727	-
scaffold2280	scaffold2280	1	116778	5	13995704	14112481	-
scaffold352	scaffold352	1	85464	6	10891875	10977338	+
scaffold617	scaffold617b	640594	782540	2	24625657	24767603	+
scaffold617	scaffold617b	782639	813438	2	24767604	24798403	+
scaffold408	scaffold408	1	210369	3	10245990	10456358	+
scaffold363	scaffold363	1	126571	15	11519698	11646268	+
scaffold9	scaffold9	1	1606972	13	13092315	14699286	+
scaffold740	scaffold740	1	405470	2	14045222	14450691	+
scaffold175	scaffold175a	1	46186	3	16806854	16853039	-
scaffold123	scaffold123d	1878891	2487146	1	2628504	3236759	-
scaffold123	scaffold123d	1323560	1878869	1	3236760	3792069	-
scaffold64	scaffold64	1	124389	4	4510567	4634955	-
scaffold905	scaffold905	1	67483	5	7261275	7328757	+
scaffold1989	scaffold1989	1	51052	8	16893072	16944123	-
scaffold837	scaffold837	1	84905	7	9633441	9718345	+
scaffold34	scaffold34a	442983	901040	11	1218038	1676095	-
scaffold34	scaffold34a	1	442937	11	1676096	2119032	-
scaffold273	scaffold273	100872	471114	8	182472	552714	-
scaffold273	scaffold273	1	100855	8	552715	653569	-
scaffold317	scaffold317b	341757	523938	6	6457578	6639759	-
scaffold505	scaffold505b	455745	923357	8	14776078	15243690	+
scaffold137	scaffold137	1	364564	1	11758418	12122981	+
scaffold383	scaffold383	1	291966	7	11919368	12211333	+
scaffold85	scaffold85	1	89279	6	1	89279	-
scaffold499	scaffold499	1	114814	6	9983503	10098316	-
scaffold96	scaffold96	1	299438	10	1652468	1951905	+
scaffold96	scaffold96	299476	429806	10	1951906	2082236	+
scaffold96	scaffold96	429852	1083743	10	2082237	2736128	+
scaffold990	scaffold990	1	64576	11	9899845	9964420	+
scaffold416	scaffold416b	558321	1241109	4	17983838	18666626	+
scaffold125	scaffold125	1	132266	9	15190598	15322863	-
scaffold3265	scaffold3265	1	62365	13	4807716	4870080	+
scaffold43	scaffold43b	439701	1249664	2	21317643	22127606	+
scaffold410	scaffold410	1	39147	13	367325	406471	+
scaffold8	scaffold8	1	886745	10	15941383	16828127	-
scaffold15	scaffold15c	1235636	2163066	4	18914021	19841451	+
scaffold118	scaffold118	1	318942	5	7735576	8054517	+
scaffold140	scaffold140	442451	1328224	6	4160094	5045867	-
scaffold140	scaffold140	79969	442409	6	5045868	5408308	-
scaffold140	scaffold140	1	79927	6	5408309	5488235	-
scaffold184	scaffold184	1	563099	15	14478626	15041724	-
scaffold860	scaffold860	1	580571	7	16458175	17038745	-
scaffold1042	scaffold1042	1	168525	3	4731883	4900407	+
scaffold187	scaffold187	1	82076	15	11307175	11389250	-
scaffold221	scaffold221a	1	43000	10	6031528	6074527	-
scaffold420	scaffold420a	1	184012	2	1494193	1678204	+
scaffold373	scaffold373b	187611	1275740	13	17554501	18642630	+
scaffold31	scaffold31a	1	1286568	4	11323318	12609885	+
scaffold31	scaffold31a	1286621	1462095	4	12609886	12785360	+
scaffold783	scaffold783b	1177166	1310699	10	542456	675989	-
scaffold783	scaffold783b	208454	1177138	10	675990	1644674	-
scaffold617	scaffold617a	1	640593	8	3098275	3738867	-
scaffold3001	scaffold3001	1	67195	10	18135933	18203127	-
scaffold55	scaffold55	1	52042	4	2283952	2335993	+
scaffold55	scaffold55	52095	698279	4	2335994	2982178	+
scaffold55	scaffold55	698296	1057445	4	2982179	3341328	+
scaffold55	scaffold55	1057464	1095323	4	3341329	3379188	+
scaffold55	scaffold55	1095370	1102539	4	3379189	3386358	+
scaffold55	scaffold55	1102563	1187346	4	3386359	3471142	+
scaffold701	scaffold701c	1096759	1457915	6	1200892	1562048	-
scaffold1120	scaffold1120	1	157481	14	4585968	4743448	+
scaffold2103	scaffold2103	279160	289230	8	19454852	19464922	-
scaffold2103	scaffold2103	1	279117	8	19464923	19744039	-
scaffold244	scaffold244	1	278990	8	21922929	22201918	+
scaffold159	scaffold159b	566720	952821	9	7168773	7554874	-
scaffold159	scaffold159b	517717	566689	9	7554875	7603847	-
scaffold274	scaffold274	1	424032	13	1014158	1438189	-
scaffold1519	scaffold1519a	1	192577	7	816576	1009152	-
scaffold133	scaffold133	1	89737	1	27270789	27360525	-
scaffold130	scaffold130	1	211561	7	11049922	11261482	-
scaffold1179	scaffold1179	1	127940	13	20229966	20357905	-
scaffold566	scaffold566	1	171737	15	10756171	10927907	+
scaffold1075	scaffold1075	1	160906	14	8254455	8415360	-
scaffold40	scaffold40	1	8690	9	8443045	8451734	+
scaffold40	scaffold40	8723	453151	9	8451735	8896163	+
scaffold721	scaffold721	1	303273	9	7919070	8222342	+
scaffold674	scaffold674	1	293929	3	20252429	20546357	+
scaffold86	scaffold86b	2153832	2276273	9	3405783	3528224	-
scaffold86	scaffold86b	1898828	2153777	9	3528225	3783174	-
scaffold86	scaffold86b	1870479	1898786	9	3783175	3811482	-
scaffold86	scaffold86b	1131949	1870461	9	3811483	4549995	-
scaffold2992	scaffold2992	1	48444	3	22235975	22284418	-
scaffold3494	scaffold3494	1	100249	7	1	100249	-
scaffold89	scaffold89	1	173970	13	9546626	9720595	+
scaffold292	scaffold292a	1	641074	8	20814610	21455683	+
scaffold281	scaffold281	1	316791	3	4901408	5218198	+
scaffold164	scaffold164b	376086	841993	3	699495	1165402	+
scaffold729	scaffold729	34623	342372	5	10698013	11005762	-
scaffold729	scaffold729	1	34606	5	11005763	11040368	-
scaffold644	scaffold644	1	158205	1	24656614	24814818	+
scaffold461	scaffold461	1	498270	10	15169468	15667737	+
scaffold461	scaffold461	498296	716097	10	15667738	15885539	+
scaffold1322	scaffold1322	1	40448	14	4544520	4584967	+
scaffold149	scaffold149	1	475300	1	21632675	22107974	-
scaffold83	scaffold83	1	205334	7	9773049	9978382	+
scaffold1218	scaffold1218	1	100731	1	13103664	13204394	-
scaffold577	scaffold577	1	163574	2	13850924	14014497	-
scaffold22	scaffold22	1	720067	9	12647488	13367554	+
scaffold418	scaffold418b	185887	684325	9	17955144	18453582	+
scaffold260	scaffold260	1	48545	13	5282457	5331001	+
scaffold260	scaffold260	48737	447911	13	5331002	5730176	+
scaffold321	scaffold321	16044	378660	13	11389364	11751980	-
scaffold321	scaffold321	1	15995	13	11751981	11767975	-
scaffold1473	scaffold1473	1	17799	3	11452712	11470510	+
scaffold508	scaffold508	1	160544	4	3646680	3807223	+
scaffold33	scaffold33a	1	624670	11	16893132	17517801	-
scaffold806	scaffold806	1	173024	3	9817043	9990066	-
scaffold561	scaffold561	2022	98248	15	6875053	6971279	-
scaffold561	scaffold561	1	1980	15	6971280	6973259	-
scaffold221	scaffold221b	43001	312554	6	9712930	9982483	+
scaffold359	scaffold359a	1	452480	14	6541806	6994285	-
scaffold38	scaffold38	1	471927	14	13639348	14111274	+
scaffold38	scaffold38	471954	872253	14	14111275	14511574	+
scaffold876	scaffold876	1	259196	2	16988198	17247393	+
scaffold876	scaffold876	259245	291565	2	17247394	17279714	+
scaffold1056	scaffold1056	1	46098	9	260547	306644	+
scaffold1056	scaffold1056	46119	151063	9	306645	411589	+
scaffold3460	scaffold3460	1	93835	7	18086311	18180145	-
scaffold266	scaffold266	1	519455	13	7475061	7994515	-
scaffold295	scaffold295	1	336202	9	12310286	12646487	-
scaffold182	scaffold182	1	829850	5	5891293	6721142	+
scaffold605	scaffold605a	1	848420	1	1182129	2030548	+
scaffold291	scaffold291	1	39548	5	2367172	2406719	+
scaffold291	scaffold291	39568	1260986	5	2406720	3628138	+
scaffold291	scaffold291	1261024	1309956	5	3628139	3677071	+
scaffold291	scaffold291	1310004	1317702	5	3677072	3684770	+
scaffold61	scaffold61	1	336075	1	13599057	13935131	-
scaffold231	scaffold231b	49637	551756	14	4900459	5402578	-
scaffold516	scaffold516	1	243397	1	24378038	24621434	+
scaffold1683	scaffold1683	1	51918	13	14745984	14797901	-
scaffold95	scaffold95	1	107600	2	11909220	12016819	+
scaffold95	scaffold95	107633	125249	2	12016820	12034436	+
scaffold4705	scaffold4705	1	467	9	7604848	7605314	+
scaffold820	scaffold820	273544	548888	15	1247798	1523142	-
scaffold820	scaffold820	273123	273499	15	1523143	1523519	-
scaffold820	scaffold820	144146	273079	15	1523520	1652453	-
scaffold820	scaffold820	1	144115	15	1652454	1796568	-
scaffold1721	scaffold1721a	1	194914	8	1286829	1481742	-
scaffold1671	scaffold1671	1	71460	3	8340148	8411607	+
scaffold378	scaffold378	1	79333	9	11039316	11118648	+
scaffold104	scaffold104	1	224957	1	12853683	13078639	+
scaffold157	scaffold157	251695	330988	3	19509876	19589169	-
scaffold157	scaffold157	98070	251677	3	19589170	19742777	-
scaffold157	scaffold157	1	97971	3	19742778	19840748	-
scaffold354	scaffold354	1	88390	2	8811277	8899666	+
scaffold491	scaffold491	1	349810	8	13220515	13570324	-
scaffold228	scaffold228	1	231234	1	11470339	11701572	+
scaffold339	scaffold339a	1	284285	6	16635610	16919894	+
scaffold339	scaffold339a	284311	333732	6	16919895	16969316	+
scaffold28	scaffold28a	1	166998	11	5079993	5246990	+
scaffold28	scaffold28a	167096	612326	11	5246991	5692221	+
scaffold11	scaffold11	1	94876	5	9868596	9963471	+
scaffold11	scaffold11	94899	120316	5	9963472	9988889	+
scaffold11	scaffold11	120337	148030	5	9988890	10016583	+
scaffold11	scaffold11	148047	655923	5	10016584	10524460	+
scaffold11	scaffold11	655943	814745	5	10524461	10683263	+
scaffold306	scaffold306a	1	345180	12	11965935	12311114	+
scaffold983	scaffold983	1	261549	8	13571325	13832873	+
scaffold119	scaffold119	1	151965	3	13349937	13501901	+
scaffold832	scaffold832	1	64482	11	19690044	19754525	+
scaffold436	scaffold436	1	240285	9	16236156	16476440	+
scaffold422	scaffold422a	1	79637	4	2181234	2260870	+
scaffold31	scaffold31b	1462096	1690545	3	3591202	3819651	+
scaffold31	scaffold31b	1690566	1840856	3	3819652	3969942	+
scaffold560	scaffold560	1	82646	9	21754472	21837117	-
scaffold297	scaffold297	687777	1074172	1	15636866	16023261	-
scaffold297	scaffold297	658002	687748	1	16023262	16053008	-
scaffold297	scaffold297	181948	657956	1	16053009	16529017	-
scaffold297	scaffold297	1	181930	1	16529018	16710947	-
scaffold257	scaffold257b	251651	731819	8	6316339	6796507	+
scaffold176	scaffold176	1	554081	6	14769592	15323672	-
scaffold464	scaffold464a	375305	650626	1	7880693	8156014	-
scaffold464	scaffold464a	1	375259	1	8156015	8531273	-
scaffold768	scaffold768	1	133339	5	12384965	12518303	+
scaffold768	scaffold768	133358	205557	5	12518304	12590503	+
scaffold888	scaffold888	1	145241	12	18627713	18772953	+
scaffold845	scaffold845	1	204618	4	7002721	7207338	+
scaffold418	scaffold418c	1100877	1215088	5	850599	964810	-
scaffold418	scaffold418c	768303	1100839	5	964811	1297347	-
scaffold418	scaffold418c	759927	768284	5	1297348	1305705	-
scaffold418	scaffold418c	684326	759727	5	1305706	1381107	-
scaffold515	scaffold515	1	613077	2	16333519	16946595	+
scaffold60	scaffold60	1	4816	14	8449367	8454182	+
scaffold60	scaffold60	4860	352367	14	8454183	8801690	+
scaffold2739	scaffold2739	1	95029	9	429225	524253	-
scaffold310	scaffold310b	749410	1458255	4	13407330	14116175	-
scaffold826	scaffold826	1	101457	8	10122742	10224198	+
scaffold826	scaffold826	101556	110938	8	10224199	10233581	+
scaffold59	scaffold59	745744	879651	1	9744640	9878547	-
scaffold59	scaffold59	321689	745714	1	9878548	10302573	-
scaffold59	scaffold59	1	321642	1	10302574	10624215	-
scaffold2837	scaffold2837	1	22681	7	10367612	10390292	+
scaffold765	scaffold765	1	662213	6	1587198	2249410	-
scaffold318	scaffold318	1	328156	3	17452133	17780288	+
scaffold318	scaffold318	328215	360788	3	17780289	17812862	+
scaffold376	scaffold376a	1	324304	4	8705425	9029728	+
scaffold376	scaffold376a	324403	397275	4	9029729	9102601	+
scaffold121	scaffold121	1	309495	15	1	309495	+
scaffold183	scaffold183	166028	206852	2	24811746	24852570	-
scaffold183	scaffold183	1	166010	2	24852571	25018580	-
scaffold476	scaffold476	1	341111	9	11854274	12195384	+
scaffold476	scaffold476	341155	455036	9	12195385	12309266	+
scaffold509	scaffold509	1	168977	2	18730971	18899947	+
scaffold858	scaffold858	1	214641	8	13833874	14048514	+
scaffold1143	scaffold1143b	647001	1079345	12	16412738	16845082	+
scaffold1143	scaffold1143b	1079377	1097744	12	16845083	16863450	+
scaffold579	scaffold579	1	102011	3	8237137	8339147	-
scaffold438	scaffold438	1	153355	7	7598184	7751538	+
scaffold438	scaffold438	153402	256868	7	7751539	7855005	+
scaffold1052	scaffold1052	1	112014	8	2968987	3081000	-
scaffold153	scaffold153	1	632746	12	5854698	6487443	-
scaffold1027	scaffold1027	1	135381	3	11471511	11606891	-
scaffold123	scaffold123b	747001	1066795	14	15733343	16053137	-
scaffold43	scaffold43c	1296796	1384249	5	8368117	8455570	-
scaffold43	scaffold43c	1249665	1296737	5	8455571	8502643	-
scaffold170	scaffold170	1	44040	9	9667074	9711113	+
scaffold170	scaffold170	44086	335791	9	9711114	10002819	+
scaffold123	scaffold123c	1066796	1323559	11	3751268	4008031	+
scaffold1363	scaffold1363a	1	39175	13	280312	319486	+
scaffold1936	scaffold1936	1	65031	1	17815152	17880182	+
scaffold489	scaffold489b	256246	332128	5	12835215	12911097	-
scaffold989	scaffold989	1	123118	3	19869130	19992247	-
scaffold651	scaffold651a	1	283000	13	1768220	2051219	-
scaffold209	scaffold209	1	201275	5	8156309	8357583	-
scaffold2124	scaffold2124	122333	178926	9	13702140	13758733	-
scaffold2124	scaffold2124	1082	122314	9	13758734	13879966	-
scaffold2124	scaffold2124	1	1041	9	13879967	13881007	-
scaffold1186	scaffold1186b	416537	449359	9	3337793	3370615	+
scaffold1186	scaffold1186b	449384	467818	9	3370616	3389050	+
scaffold885	scaffold885	1	155489	14	9281386	9436874	+
scaffold3	scaffold3	1	808700	10	4221646	5030345	+
scaffold387	scaffold387	1	146496	14	7934672	8081167	-
scaffold762	scaffold762	1	156650	15	7996760	8153409	-
scaffold610	scaffold610a	1	243290	5	9618680	9861969	+
scaffold977	scaffold977a	1	416624	11	18015119	18431742	+
scaffold977	scaffold977a	416712	456355	11	18431743	18471386	+
scaffold977	scaffold977a	456403	902991	11	18471387	18917975	+
scaffold977	scaffold977a	903030	945802	11	18917976	18960748	+
scaffold977	scaffold977a	945862	1255801	11	18960749	19270688	+
scaffold1478	scaffold1478	1	115519	9	21637934	21753452	+
scaffold33	scaffold33c	1808393	1959497	3	13830717	13981821	+
scaffold388	scaffold388	1	331486	15	5930189	6261674	+
scaffold51	scaffold51b	411992	425774	10	12651144	12664926	+
scaffold51	scaffold51b	425812	434748	10	12664927	12673863	+
scaffold51	scaffold51b	434843	558410	10	12673864	12797431	+
scaffold1999	scaffold1999	73025	128748	15	409496	465219	-
scaffold1999	scaffold1999	1	72990	15	465220	538209	-
scaffold1140	scaffold1140	43398	265267	3	3018310	3240179	-
scaffold1140	scaffold1140	1	43296	3	3240180	3283475	-
scaffold256	scaffold256a	1	77735	15	5822318	5900052	+
scaffold259	scaffold259	243330	306757	9	3031063	3094490	-
scaffold259	scaffold259	1	243302	9	3094491	3337792	-
scaffold711	scaffold711	1	807943	1	19477894	20285836	+
scaffold35	scaffold35a	12142	299173	7	6660464	6947495	-
scaffold35	scaffold35a	1	12099	7	6947496	6959594	-
scaffold772	scaffold772	1	289769	3	17873246	18163014	+
scaffold483	scaffold483	1	164659	2	8412764	8577422	-
scaffold284	scaffold284	1	473459	8	10795812	11269270	+
scaffold169	scaffold169	1	370759	10	123425	494183	+
scaffold218	scaffold218a	1	298143	5	9319537	9617679	+
scaffold30	scaffold30a	1	541400	3	4182064	4723463	+
scaffold455	scaffold455	1	373534	1	17893853	18267386	+
scaffold3042	scaffold3042	1	37828	3	23651815	23689642	+
scaffold16	scaffold16	513862	942874	6	16987444	17416456	-
scaffold16	scaffold16	199319	513817	6	17416457	17730955	-
scaffold16	scaffold16	1	199301	6	17730956	17930256	-
scaffold1396	scaffold1396	1	31879	7	10334733	10366611	+
scaffold812	scaffold812	419973	510045	14	2346389	2436461	-
scaffold812	scaffold812	1	419955	14	2436462	2856416	-
scaffold1639	scaffold1639	1	105255	15	7829186	7934440	-
scaffold37	scaffold37a	1404764	1901468	2	6493401	6990105	-
