chr	ID	start	end	strand	RGA type	scaffold 	refined scaffold
1	Lus10027972	25468993	25470735	-	RLK	scaffold132	scaffold132a
1	Lus10028041	25108765	25110643	-	OTHER	scaffold132	scaffold132a
1	Lus10028058	25028475	25032779	-	TNL	scaffold132	scaffold132a
1	Lus10028060	25019372	25023272	-	TNL	scaffold132	scaffold132a
1	Lus10028067	24971860	24974435	-	RLK	scaffold132	scaffold132a
1	Lus10028075	24941997	24943982	+	CNL	scaffold132	scaffold132a
1	Lus10028076	24939188	24940993	+	CNL	scaffold132	scaffold132a
9	Lus10009582	20508028	20511125	+	RLK	scaffold1331	scaffold1331
15	Lus10002692	7178357	7181398	-	RLK	scaffold1347	scaffold1347
14	Lus10006841	5455841	5459316	+	RLK	scaffold1356	scaffold1356
14	Lus10006881	5663625	5668002	-	TM-CC	scaffold1356	scaffold1356
13	Lus10000741	300643	303348	-	RLK	scaffold1363	scaffold1363a
1	Lus10009383	11830099	11836510	-	TM-CC	scaffold137	scaffold137
1	Lus10009384	11859296	11859559	-	TX	scaffold137	scaffold137
1	Lus10009394	11961794	11964895	+	RLK	scaffold137	scaffold137
15	Lus10011216	1010940	1011642	+	TX	scaffold1376	scaffold1376
15	Lus10011223	960226	963788	-	RLK	scaffold1376	scaffold1376
15	Lus10011229	928284	930629	-	TM-CC	scaffold1376	scaffold1376
15	Lus10011240	868392	868847	-	TX	scaffold1376	scaffold1376
15	Lus10011241	867849	868175	-	NBS	scaffold1376	scaffold1376
3	Lus10018972	15774092	15788111	+	TNL	scaffold138	scaffold138
6	Lus10002214	11056963	11058546	+	RLP	scaffold139	scaffold139
15	Lus10001489	6987299	6990719	+	RLK	scaffold1394	scaffold1394
15	Lus10017782	5168320	5171633	-	RLK	scaffold14	scaffold14
6	Lus10032449	5352043	5356399	-	TM-CC	scaffold140	scaffold140
6	Lus10032493	5078387	5081845	-	RLK	scaffold140	scaffold140
6	Lus10032640	4326031	4328125	+	RLK	scaffold140	scaffold140
6	Lus10032672	4166284	4168614	-	RLK	scaffold140	scaffold140
14	Lus10000814	9855858	9858952	+	RLK	scaffold1405	scaffold1405
1	Lus10003521	29346622	29348089	-	NBS	scaffold144	scaffold144
14	Lus10025491	1931643	1934215	-	RLK	scaffold145	scaffold145a
14	Lus10025492	1934784	1937110	+	RLK	scaffold145	scaffold145a
14	Lus10025497	1959793	1960666	+	TX	scaffold145	scaffold145a
14	Lus10025512	2038165	2040597	+	RLK	scaffold145	scaffold145a
14	Lus10025541	2222430	2225632	+	RLK	scaffold145	scaffold145a
14	Lus10025544	2230403	2232708	-	RLK	scaffold145	scaffold145a
14	Lus10025547	2238166	2240144	+	RLK	scaffold145	scaffold145a
14	Lus10025553	2275218	2278157	-	RLK	scaffold145	scaffold145a
14	Lus10025554	2279583	2281778	+	RLK	scaffold145	scaffold145a
14	Lus10025565	2332129	2336225	-	TM-CC	scaffold145	scaffold145a
13	Lus10025602	17103421	17108136	-	TM-CC	scaffold145	scaffold145b
13	Lus10025617	17031233	17033057	-	RLK	scaffold145	scaffold145b
13	Lus10025626	17003460	17007534	+	NL	scaffold145	scaffold145b
13	Lus10025643	16907781	16909901	+	RLP	scaffold145	scaffold145b
9	Lus10002258	21676224	21680936	+	TM-CC	scaffold1478	scaffold1478
9	Lus10008958	1745524	1748192	+	RLK	scaffold1486	scaffold1486
6	Lus10019844	13996787	14000095	-	RLK	scaffold1491	scaffold1491
6	Lus10019865	13915659	13919933	-	TM-CC	scaffold1491	scaffold1491
6	Lus10019879	13842172	13844204	-	RLK	scaffold1491	scaffold1491
6	Lus10019907	13706626	13711774	-	RLK	scaffold1491	scaffold1491
6	Lus10019923	13636490	13638751	+	RLK	scaffold1491	scaffold1491
4	Lus10039509	8151966	8155904	-	CNL	scaffold15	scaffold15a
4	Lus10039512	8141940	8144840	-	RLP	scaffold15	scaffold15a
4	Lus10039514	8128029	8131094	+	RLP	scaffold15	scaffold15a
4	Lus10039515	8120731	8121249	+	TX	scaffold15	scaffold15a
4	Lus10039522	8050644	8052181	+	RLP	scaffold15	scaffold15a
4	Lus10039529	8004975	8007989	-	RLP	scaffold15	scaffold15a
4	Lus10039531	7997788	8000763	-	RLP	scaffold15	scaffold15a
4	Lus10039540	7931739	7935164	+	CNL	scaffold15	scaffold15a
4	Lus10039549	7875212	7876003	+	NBS	scaffold15	scaffold15a
5	Lus10039607	16437832	16442775	+	TM-CC	scaffold15	scaffold15b
5	Lus10039641	16636867	16641182	+	RLK	scaffold15	scaffold15b
4	Lus10039705	18916564	18919596	+	TM-CC	scaffold15	scaffold15c
4	Lus10039725	19025868	19029014	-	RLK	scaffold15	scaffold15c
4	Lus10039731	19054065	19059956	+	RLK	scaffold15	scaffold15c
4	Lus10039732	19060994	19063300	+	RLK	scaffold15	scaffold15c
4	Lus10039733	19063812	19066623	+	RLK	scaffold15	scaffold15c
4	Lus10039762	19186606	19189026	+	RLK	scaffold15	scaffold15c
4	Lus10039767	19198756	19201861	-	RLK	scaffold15	scaffold15c
4	Lus10039794	19301467	19303858	-	TM-CC	scaffold15	scaffold15c
4	Lus10039795	19304987	19309085	-	RLK	scaffold15	scaffold15c
4	Lus10039850	19585112	19589749	+	TNL	scaffold15	scaffold15c
4	Lus10039872	19692428	19694906	+	RLK	scaffold15	scaffold15c
5	Lus10035301	12009858	12012565	-	RLK	scaffold151	scaffold151a
5	Lus10035354	12266921	12269997	-	TM-CC	scaffold151	scaffold151a
5	Lus10035355	12273792	12276933	-	TM-CC	scaffold151	scaffold151a
7	Lus10035406	5401789	5403190	+	NBS	scaffold151	scaffold151b
7	Lus10035429	5561165	5564751	-	RLK	scaffold151	scaffold151b
7	Lus10007498	864218	876601	+	TM-CC	scaffold1519	scaffold1519a
9	Lus10007516	981387	984278	-	RLK	scaffold1519	scaffold1519b
12	Lus10016833	6389201	6391057	-	RLK	scaffold153	scaffold153
12	Lus10016836	6371443	6377544	+	RLK	scaffold153	scaffold153
12	Lus10016859	6186195	6188472	-	RLK	scaffold153	scaffold153
12	Lus10016860	6178678	6182048	-	RLK	scaffold153	scaffold153
12	Lus10016862	6168851	6172027	-	RLK	scaffold153	scaffold153
12	Lus10016864	6159341	6160324	-	RLK	scaffold153	scaffold153
12	Lus10016871	6131731	6135184	+	RLK	scaffold153	scaffold153
12	Lus10016876	6102287	6105116	+	RLK	scaffold153	scaffold153
12	Lus10016896	5976786	5979769	+	RLK	scaffold153	scaffold153
12	Lus10016900	5957202	5960789	+	TM-CC	scaffold153	scaffold153
12	Lus10016907	5923571	5926241	+	RLK	scaffold153	scaffold153
12	Lus10001366	61512	66789	-	TNL	scaffold1533	scaffold1533
12	Lus10001375	18994	25600	-	TNL	scaffold1533	scaffold1533
4	Lus10009107	17141532	17146187	+	TNL	scaffold1536	scaffold1536a
4	Lus10009108	17146906	17147707	+	TX	scaffold1536	scaffold1536a
4	Lus10009109	17147750	17148367	+	NBS	scaffold1536	scaffold1536a
5	Lus10009150	14373483	14375736	-	RLK	scaffold1536	scaffold1536b
6	Lus10021003	15385416	15390253	+	RLK	scaffold155	scaffold155a
6	Lus10021022	15477978	15480078	+	RLK	scaffold155	scaffold155a
8	Lus10021060	5513370	5515379	-	RLK	scaffold155	scaffold155b
8	Lus10021131	5831175	5833929	+	RLK	scaffold155	scaffold155b
6	Lus10011098	3766048	3768728	+	RLK	scaffold1558	scaffold1558
6	Lus10011104	3812587	3817352	+	OTHER	scaffold1558	scaffold1558
6	Lus10011168	4134603	4138049	+	RLP	scaffold1558	scaffold1558
3	Lus10040576	5746000	5750240	+	TNL	scaffold156	scaffold156a
3	Lus10040592	5828704	5830680	+	RLP	scaffold156	scaffold156a
3	Lus10040630	6039514	6045820	+	TM-CC	scaffold156	scaffold156a
3	Lus10040653	6144275	6147609	-	RLK	scaffold156	scaffold156a
3	Lus10040663	6187152	6189569	+	RLK	scaffold156	scaffold156a
3	Lus10040773	6614722	6616749	-	RLK	scaffold156	scaffold156a
3	Lus10040774	6626573	6628630	-	RLK	scaffold156	scaffold156a
3	Lus10040785	6696132	6705630	+	TM-CC	scaffold156	scaffold156a
3	Lus10008209	19792963	19793406	-	TX	scaffold157	scaffold157
3	Lus10008221	19698197	19704058	+	TNL	scaffold157	scaffold157
3	Lus10008222	19692616	19696547	-	TNL	scaffold157	scaffold157
3	Lus10008230	19645703	19648642	+	RLP	scaffold157	scaffold157
3	Lus10008242	19528158	19529583	-	RLP	scaffold157	scaffold157
15	Lus10011432	2962166	2966049	+	TM-CC	scaffold1578	scaffold1578b
15	Lus10011466	3119987	3130445	+	RLK	scaffold1578	scaffold1578b
7	Lus10024448	7397276	7398697	-	RLK	scaffold159	scaffold159a
7	Lus10024454	7297493	7303276	-	TM-CC	scaffold159	scaffold159a
9	Lus10024518	7180624	7182270	-	TM-CC	scaffold159	scaffold159b
6	Lus10024343	17463059	17466779	-	RLK	scaffold16	scaffold16
6	Lus10024348	17450048	17452621	+	RLK	scaffold16	scaffold16
6	Lus10024365	17378753	17380843	-	RLK	scaffold16	scaffold16
6	Lus10024393	17236068	17250858	-	TM-CC	scaffold16	scaffold16
6	Lus10024407	17165575	17168768	+	TM-CC	scaffold16	scaffold16
11	Lus10010263	10746082	10748794	+	RLK	scaffold161	scaffold161
12	Lus10018203	4741247	4746792	-	RLK	scaffold163	scaffold163
12	Lus10018242	4919055	4921478	-	RLK	scaffold163	scaffold163
12	Lus10018309	5214501	5216241	-	TN	scaffold163	scaffold163
3	Lus10008712	16736745	16739949	+	RLK	scaffold1635	scaffold1635b
8	Lus10021852	7504480	7505787	-	RLK	scaffold164	scaffold164a
3	Lus10021889	806024	808344	-	RLK	scaffold164	scaffold164b
12	Lus10024195	10553798	10556224	+	RLK	scaffold165	scaffold165
1	Lus10008582	3826347	3827528	+	RLK	scaffold1686	scaffold1686
1	Lus10008586	3836528	3838600	-	RLK	scaffold1686	scaffold1686
1	Lus10008597	3888856	3890922	-	RLK	scaffold1686	scaffold1686
1	Lus10008628	4018250	4024262	+	TM-CC	scaffold1686	scaffold1686
6	Lus10016029	12339647	12344962	-	TNL	scaffold172	scaffold172
6	Lus10016048	12419951	12426916	-	TM-CC	scaffold172	scaffold172
6	Lus10016072	12544325	12546289	-	TM-CC	scaffold172	scaffold172
8	Lus10005619	1409633	1414837	-	RLK	scaffold1721	scaffold1721a
8	Lus10005630	1348719	1354511	-	RLK	scaffold1721	scaffold1721a
1	Lus10015885	20422090	20423727	+	TM-CC	scaffold175	scaffold175c
6	Lus10014387	15138885	15140824	+	RLK	scaffold176	scaffold176
6	Lus10014441	14821777	14827895	+	RLP	scaffold176	scaffold176
8	Lus10023831	5339082	5340401	+	RLK	scaffold177	scaffold177
8	Lus10023849	5254521	5257503	+	RLP	scaffold177	scaffold177
2	Lus10016316	2425228	2428940	-	CNL	scaffold179	scaffold179
2	Lus10016325	2391311	2392432	-	RLP	scaffold179	scaffold179
2	Lus10016326	2387744	2390743	+	RLP	scaffold179	scaffold179
2	Lus10016337	2328690	2332210	-	RLP	scaffold179	scaffold179
2	Lus10016339	2320228	2323230	+	RLP	scaffold179	scaffold179
2	Lus10016340	2316548	2319583	-	RLP	scaffold179	scaffold179
2	Lus10016341	2311709	2314696	-	RLP	scaffold179	scaffold179
2	Lus10016342	2307887	2310784	-	RLP	scaffold179	scaffold179
2	Lus10016384	2120489	2123632	-	RLP	scaffold179	scaffold179
2	Lus10016395	2077399	2080665	-	RLK	scaffold179	scaffold179
2	Lus10016401	2043262	2044241	-	RLP	scaffold179	scaffold179
2	Lus10016402	2035923	2037983	-	RLP	scaffold179	scaffold179
6	Lus10010772	9596944	9600203	-	RLK	scaffold18	scaffold18
5	Lus10021595	6410919	6412310	-	RLK	scaffold182	scaffold182
2	Lus10004625	24988805	24993241	-	RLK	scaffold183	scaffold183
2	Lus10004646	24886490	24888451	+	RLK	scaffold183	scaffold183
15	Lus10014760	15016514	15023429	+	RLK	scaffold184	scaffold184
15	Lus10014808	14722716	14727390	-	RLK	scaffold184	scaffold184
15	Lus10014810	14717190	14720271	-	RLK	scaffold184	scaffold184
15	Lus10014811	14712409	14715507	+	RLK	scaffold184	scaffold184
15	Lus10014812	14707146	14710289	+	RLK	scaffold184	scaffold184
15	Lus10014813	14700075	14703096	+	RLK	scaffold184	scaffold184
15	Lus10014820	14647410	14650177	+	RLK	scaffold184	scaffold184
15	Lus10014829	14581443	14587086	-	TNL	scaffold184	scaffold184
15	Lus10014839	14523918	14526813	+	TM-CC	scaffold184	scaffold184
11	Lus10019599	13009921	13010930	+	RLK	scaffold185	scaffold185a
11	Lus10019600	13008541	13009882	+	RLK	scaffold185	scaffold185a
13	Lus10004275	5778793	5783827	+	RLK	scaffold1884	scaffold1884
13	Lus10004277	5791927	5793882	+	RLK	scaffold1884	scaffold1884
13	Lus10004279	5798180	5800288	+	RLK	scaffold1884	scaffold1884
13	Lus10004283	5821195	5823636	-	RLK	scaffold1884	scaffold1884
13	Lus10004309	5930351	5931436	+	RLP	scaffold1884	scaffold1884
13	Lus10004310	5932865	5935366	+	RLP	scaffold1884	scaffold1884
13	Lus10004313	5941775	5944132	-	RLP	scaffold1884	scaffold1884
6	Lus10030067	6876719	6877567	-	RLP	scaffold19	scaffold19a
6	Lus10030068	6887617	6890402	+	RLP	scaffold19	scaffold19a
3	Lus10037464	25866904	25870582	+	RLK	scaffold196	scaffold196b
3	Lus10037526	25597810	25601800	+	RLK	scaffold196	scaffold196b
3	Lus10037574	25372249	25376276	-	TM-CC	scaffold196	scaffold196b
3	Lus10037586	25339321	25342749	-	RLK	scaffold196	scaffold196b
3	Lus10037622	25199597	25203942	+	TM-CC	scaffold196	scaffold196b
3	Lus10037641	25115597	25122176	+	TM-CC	scaffold196	scaffold196b
3	Lus10037667	25009138	25009785	+	TN	scaffold196	scaffold196b
3	Lus10037729	24681294	24684669	-	RLK	scaffold196	scaffold196b
3	Lus10037732	24669651	24672912	-	RLK	scaffold196	scaffold196b
3	Lus10037733	24664810	24666795	-	RLK	scaffold196	scaffold196b
12	Lus10037786	5788546	5793121	-	TM-CC	scaffold196	scaffold196c
1	Lus10005038	8582370	8584890	-	RLK	scaffold1982	scaffold1982
1	Lus10005053	8649636	8652109	+	RLK	scaffold1982	scaffold1982
1	Lus10005058	8676888	8682572	+	TM-CC	scaffold1982	scaffold1982
1	Lus10005060	8689988	8691952	-	TM-CC	scaffold1982	scaffold1982
11	Lus10008566	14954446	14957009	-	RLK	scaffold199	scaffold199b
11	Lus10027580	14828769	14830595	-	RLP	scaffold2	scaffold2
11	Lus10027597	14701849	14704183	+	RLK	scaffold2	scaffold2
11	Lus10027610	14629734	14632795	+	TM-CC	scaffold2	scaffold2
11	Lus10027635	14472511	14477677	-	RLK	scaffold2	scaffold2
11	Lus10027645	14406721	14407518	-	RLP	scaffold2	scaffold2
11	Lus10027653	14320387	14323545	+	TM-CC	scaffold2	scaffold2
11	Lus10027677	14136213	14138850	-	RLK	scaffold2	scaffold2
11	Lus10027688	14040910	14044883	-	RLP	scaffold2	scaffold2
14	Lus10014910	19181914	19185217	-	RLP	scaffold2022	scaffold2022
14	Lus10014922	19115860	19118598	-	CNL	scaffold2022	scaffold2022
14	Lus10014923	19113444	19115427	+	RLK	scaffold2022	scaffold2022
14	Lus10014924	19110089	19113011	-	RLK	scaffold2022	scaffold2022
14	Lus10014930	19086655	19090747	+	TM-CC	scaffold2022	scaffold2022
14	Lus10014943	19010274	19013057	+	RLK	scaffold2022	scaffold2022
14	Lus10014996	18803623	18807690	+	RLK	scaffold2022	scaffold2022
14	Lus10015002	18780019	18783104	+	TM-CC	scaffold2022	scaffold2022
12	Lus10006732	890823	894178	+	TNL	scaffold204	scaffold204
12	Lus10006742	837969	842732	-	RLK	scaffold204	scaffold204
12	Lus10006745	827780	831042	-	RLK	scaffold204	scaffold204
12	Lus10006746	819557	822893	-	RLK	scaffold204	scaffold204
12	Lus10006777	693554	696449	-	RLK	scaffold204	scaffold204
5	Lus10004719	1568734	1573096	-	TNL	scaffold2057	scaffold2057
5	Lus10004726	1535502	1538672	+	CNL	scaffold2057	scaffold2057
5	Lus10004727	1534218	1535440	+	TN	scaffold2057	scaffold2057
5	Lus10004747	1449598	1453554	-	TNL	scaffold2057	scaffold2057
15	Lus10012701	3851067	3853582	+	RLK	scaffold206	scaffold206
2	Lus10021632	20785832	20788492	+	RLK	scaffold208	scaffold208
2	Lus10021673	20469170	20471164	+	RLK	scaffold208	scaffold208
9	Lus10002609	21130879	21133761	+	NL	scaffold2083	scaffold2083
4	Lus10005321	7631875	7636017	-	NL	scaffold21	scaffold21
4	Lus10005345	7498828	7502088	-	RLK	scaffold21	scaffold21
8	Lus10007030	19542019	19545773	-	TN	scaffold2103	scaffold2103
6	Lus10017754	6133781	6139758	-	TM-CC	scaffold212	scaffold212
6	Lus10017756	6168527	6172209	+	RLK	scaffold212	scaffold212
3	Lus10017120	24085921	24090384	+	RLK	scaffold216	scaffold216
3	Lus10017143	23992229	23996381	-	TNL	scaffold216	scaffold216
3	Lus10017144	23986424	23988948	-	RLK	scaffold216	scaffold216
4	Lus10030181	286112	288107	-	RLK	scaffold217	scaffold217
4	Lus10030210	402411	405454	-	RLK	scaffold217	scaffold217
4	Lus10030279	713667	716345	-	RLK	scaffold217	scaffold217
4	Lus10030308	834900	837380	-	RLK	scaffold217	scaffold217
4	Lus10030333	960915	963645	-	RLK	scaffold217	scaffold217
4	Lus10030345	1049514	1056697	+	TNL	scaffold217	scaffold217
4	Lus10030400	1381010	1385696	-	RLK	scaffold217	scaffold217
9	Lus10018788	12689786	12691819	+	RLK	scaffold22	scaffold22
3	Lus10033782	18483988	18487979	+	RLK	scaffold222	scaffold222a
3	Lus10033783	18491575	18493767	+	RLK	scaffold222	scaffold222a
3	Lus10033825	18759380	18763409	-	NL	scaffold222	scaffold222a
3	Lus10033837	18817930	18824313	+	TM-CC	scaffold222	scaffold222a
3	Lus10033878	19130168	19133498	+	TM-CC	scaffold222	scaffold222a
