Trait	QTL	Chr	Coord_start	Coord_end	chr	ID	start	end	strand	functional annotation	scaffold 	refined scaffold	arabidopsis gene	gene names	dummy
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018130	18679963	18681441	+	ATPase family associated with various cellular activities (AAA) 	scaffold112	scaffold112	AT1G21690.3	EMB1968,RFC4	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018131	18683208	18684151	+	Pollen Ole e 1 allergen and extensin family protein	scaffold112	scaffold112	AT1G29140.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018132	18692108	18697375	+	NRAMP metal ion transporter 6	scaffold112	scaffold112	AT1G15960.1	ATNRAMP6,NRAMP6	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018133	18698181	18700033	-	6,7-dimethyl-8-ribityllumazine synthase / DMRL synthase / lumazine synthase / riboflavin synthase	scaffold112	scaffold112	AT2G44050.1	COS1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018134	18700159	18705685	-	MATE efflux family protein	scaffold112	scaffold112	AT1G15170.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018135	18707231	18711041	-	MATE efflux family protein	scaffold112	scaffold112	AT1G15170.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018136	18714914	18719183	-	MATE efflux family protein	scaffold112	scaffold112	AT1G71140.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018137	18720784	18722858	+	8-oxoguanine-DNA glycosylase 1	scaffold112	scaffold112	AT1G21710.1	ATOGG1,OGG1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018138	18723149	18729217	-	beta-galactosidase 16	scaffold112	scaffold112	AT1G77410.1	BGAL16	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018139	18730299	18730730	+	Translation protein SH3-like family protein	scaffold112	scaffold112	AT3G49910.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018140	18735963	18736649	+	RING/U-box superfamily protein	scaffold112	scaffold112	AT3G19910.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018142	18748326	18749493	-	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	scaffold112	scaffold112	AT1G01720.1	ANAC002,ATAF1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018143	18761120	18761488	+	Cwf15 / Cwc15 cell cycle control family protein	scaffold112	scaffold112	AT3G13200.1	EMB2769	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018144	18761835	18763971	-	replication factor C subunit 3	scaffold112	scaffold112	AT1G77470.1	RFC3,RFC5	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018145	18764999	18773363	+	P-loop containing nucleoside triphosphate hydrolases superfamily protein	scaffold112	scaffold112	AT1G21730.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018146	18773626	18775879	-	Eukaryotic aspartyl protease family protein	scaffold112	scaffold112	AT1G77480.2		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018147	18777375	18779476	-	methyltransferases;nucleic acid binding	scaffold112	scaffold112	AT3G26410.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018148	18779674	18782216	-	Eukaryotic aspartyl protease family protein	scaffold112	scaffold112	AT1G44130.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018149	18790764	18792717	-	methyltransferases;nucleic acid binding	scaffold112	scaffold112	AT3G26410.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018150	18795175	18795870	+	Vacuolar iron transporter (VIT) family protein	scaffold112	scaffold112	AT3G43660.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018151	18798410	18799925	-	Protein of unknown function (DUF1997)	scaffold112	scaffold112	AT4G31115.2		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018152	18803029	18804538	+	HSP40/DnaJ peptide-binding protein	scaffold112	scaffold112	AT1G11040.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018153	18804849	18808403	-	aldehyde dehydrogenase 3H1	scaffold112	scaffold112	AT1G44170.1	ALDH3H1,ALDH4	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018154	18810981	18813635	+	RNA polymerase I specific transcription initiation factor RRN3 protein	scaffold112	scaffold112	AT1G30590.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018155	18815138	18818643	+	thylakoidal ascorbate peroxidase	scaffold112	scaffold112	AT1G77490.1	TAPX	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018156	18820183	18823235	+	PDI-like 1-1	scaffold112	scaffold112	AT1G21750.1	ATPDI5,ATPDIL1-1,PDI5,PDIL1-1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018157	18824351	18825010	-	cytochrome P450, family 96, subfamily A, polypeptide 9	scaffold112	scaffold112	AT4G39480.1	CYP96A9	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018158	18825969	18826295	-	cytochrome P450, family 96, subfamily A, polypeptide 5	scaffold112	scaffold112	AT2G21910.1	CYP96A5	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018159	18826676	18827200	-	cytochrome P450, family 96, subfamily A, polypeptide 12	scaffold112	scaffold112	AT4G39510.1	CYP96A12	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018160	18829631	18830209	-	cytochrome P450, family 96, subfamily A, polypeptide 1	scaffold112	scaffold112	AT2G23180.1	CYP96A1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018161	18834173	18834691	-	cytochrome P450, family 96, subfamily A, polypeptide 9	scaffold112	scaffold112	AT4G39480.1	CYP96A9	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018162	18834998	18836023	-	cytochrome P450, family 96, subfamily A, polypeptide 10	scaffold112	scaffold112	AT4G39490.1	CYP96A10	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018163	18837725	18839252	-	Chlorophyll A-B binding family protein	scaffold112	scaffold112	AT1G44575.1	NPQ4,PSBS	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10000889	17824268	17827217	+	calcium-dependent protein kinase 17	scaffold1936	scaffold1936	AT5G12180.1	CPK17	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10000891	17838418	17845569	-	CRT (chloroquine-resistance transporter)-like transporter 3	scaffold1936	scaffold1936	AT5G12170.2	CLT3	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10000892	17848746	17849884	-	Pentatricopeptide repeat (PPR) superfamily protein	scaffold1936	scaffold1936	AT1G62350.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10000893	17874081	17876694	+	GDSL-like Lipase/Acylhydrolase superfamily protein	scaffold1936	scaffold1936	AT1G33811.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026718	16819126	16821989	+	Ubiquitin-like superfamily protein	scaffold361	scaffold361	AT2G43210.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026720	16823073	16823444	-	AP2/B3-like transcriptional factor family protein	scaffold361	scaffold361	AT3G18990.1	REM39,VRN1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026721	16829325	16830062	+	ARM repeat superfamily protein	scaffold361	scaffold361	AT3G02710.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026722	16832339	16832494	+	glutathione S-transferase TAU 11	scaffold361	scaffold361	AT1G69930.1	ATGSTU11,GSTU11	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026723	16840685	16841086	+	Disease resistance protein (TIR-NBS-LRR class) family	scaffold361	scaffold361	AT4G36150.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026724	16844282	16845198	-	AP2/B3-like transcriptional factor family protein	scaffold361	scaffold361	AT4G33280.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026725	16848529	16856625	-	trithorax-like protein 2	scaffold361	scaffold361	AT1G05830.1	ATX2,SDG30	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026726	16865088	16869781	+	ARM repeat superfamily protein	scaffold361	scaffold361	AT2G31660.1	SAD2,URM9	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026727	16869890	16871813	+	ARM repeat superfamily protein	scaffold361	scaffold361	AT2G31660.1	SAD2,URM9	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026729	16887854	16889844	-	pectin methylesterase 61	scaffold361	scaffold361	AT3G59010.1	PME61	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026730	16897962	16898402	+	ILI1 binding bHLH 1	scaffold361	scaffold361	AT2G43060.1	IBH1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026731	16902595	16904283	-	RAB GTPase homolog A5D	scaffold361	scaffold361	AT2G31680.1	AtRABA5d,RABA5d	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026732	16912913	16913308	-	Far-red impaired responsive (FAR1) family protein	scaffold361	scaffold361	AT3G07500.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026733	16917343	16918291	-	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	scaffold361	scaffold361	AT2G43140.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026735	16926320	16927813	-	alpha/beta-Hydrolases superfamily protein	scaffold361	scaffold361	AT2G31690.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026736	16932897	16934047	+	HXXXD-type acyl-transferase family protein	scaffold361	scaffold361	AT3G26040.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026737	16936245	16937084	+	HXXXD-type acyl-transferase family protein	scaffold361	scaffold361	AT5G41040.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026738	16939832	16941124	+		scaffold361	scaffold361	AT1G78170.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026739	16961558	16963181	+	P-loop containing nucleoside triphosphate hydrolases superfamily protein	scaffold361	scaffold361	AT1G20920.2		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026741	16996630	17001902	+	ENTH/VHS family protein	scaffold361	scaffold361	AT2G43160.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026742	17003703	17006219	+	calcium-dependent protein kinase 32	scaffold361	scaffold361	AT3G57530.1	ATCPK32,CDPK32,CPK32	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026743	17006953	17015042	-	Phosphoenolpyruvate carboxylase family protein	scaffold361	scaffold361	AT2G43180.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026744	17015675	17018882	-	Eukaryotic protein of unknown function (DUF914)	scaffold361	scaffold361	AT3G59310.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026745	17036219	17038143	-	magnesium transporter 4	scaffold361	scaffold361	AT3G19640.1	MGT4,MRS2-3	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026746	17043422	17043898	-	magnesium transporter 4	scaffold361	scaffold361	AT3G19640.1	MGT4,MRS2-3	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026747	17044681	17048941	+	Tetratricopeptide repeat (TPR)-like superfamily protein	scaffold361	scaffold361	AT1G06710.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026748	17058261	17060085	+	Peroxidase superfamily protein	scaffold361	scaffold361	AT5G19890.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026749	17061536	17062454	+	early nodulin-like protein 20	scaffold361	scaffold361	AT2G27035.1	AtENODL20,ENODL20	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026750	17064405	17069594	-	Argonaute family protein	scaffold361	scaffold361	AT5G21150.1	AGO9	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026751	17077206	17079303	+	Leucine-rich repeat (LRR) family protein	scaffold361	scaffold361	AT5G21090.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026753	17099778	17104751	+	Plant L-ascorbate oxidase	scaffold361	scaffold361	AT5G21105.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026754	17106899	17110018	+	Nucleotidylyl transferase superfamily protein	scaffold361	scaffold361	AT3G04600.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026756	17134471	17137673	+	Leucine-rich repeat protein kinase family protein	scaffold361	scaffold361	AT2G27060.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026757	17139362	17143321	+	Copper amine oxidase family protein	scaffold361	scaffold361	AT1G31690.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026758	17149409	17151012	+	organic cation/carnitine transporter4	scaffold361	scaffold361	AT3G20660.1	4-Oct,AtOCT4	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026759	17152327	17152980	-	Protein kinase superfamily protein	scaffold361	scaffold361	AT1G66930.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026760	17153305	17154218	-		scaffold361	scaffold361	AT1G11915.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026761	17159664	17161647	+	Protein kinase superfamily protein	scaffold361	scaffold361	AT1G67000.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026762	17163401	17163745	-	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	scaffold361	scaffold361	AT2G27080.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026763	17175795	17178580	-	Protein of unknown function (DUF630 and DUF632)	scaffold361	scaffold361	AT2G27090.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026764	17184323	17185840	-		scaffold361	scaffold361	AT5G21070.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026765	17189168	17189470	-	NB-ARC domain-containing disease resistance protein	scaffold361	scaffold361	AT3G07040.1	RPM1,RPS3	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026766	17194644	17199333	+	C2H2 zinc-finger protein SERRATE (SE)	scaffold361	scaffold361	AT2G27100.1	SE	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026767	17200535	17202268	-	FAR1-related sequence 3	scaffold361	scaffold361	AT2G27110.1	FRS3	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026768	17210106	17210522	+	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	scaffold361	scaffold361	AT2G27130.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026769	17211343	17213339	+	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	scaffold361	scaffold361	AT3G43720.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026770	17214327	17215922	+	F-box protein 2	scaffold361	scaffold361	AT5G21040.1	FBX2	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026771	17216276	17218317	+	SGNH hydrolase-type esterase superfamily protein	scaffold361	scaffold361	AT4G10950.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026772	17221431	17221805	+	Pyridine nucleotide-disulphide oxidoreductase family protein	scaffold361	scaffold361	AT1G74470.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026773	17222793	17226514	+	TCP-1/cpn60 chaperonin family protein	scaffold361	scaffold361	AT3G11830.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026774	17227645	17229902	-	NADH:cytochrome B5 reductase 1	scaffold361	scaffold361	AT5G17770.1	ATCBR,CBR,CBR1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026775	17232533	17235480	-	FAD-binding Berberine family protein	scaffold361	scaffold361	AT5G44390.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026777	17277953	17278738	-	Ribose 5-phosphate isomerase, type A protein	scaffold361	scaffold361	AT1G71100.1	RSW10	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026778	17279207	17280567	-	Pentatricopeptide repeat (PPR) superfamily protein	scaffold361	scaffold361	AT4G14170.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026779	17284571	17284996	+	cystatin B	scaffold361	scaffold361	AT3G12490.2	ATCYS6,ATCYSB,CYSB	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026780	17287892	17289902	-	Histone superfamily protein	scaffold361	scaffold361	AT5G19490.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026781	17303483	17305528	+	Ubiquitin-associated/translation elongation factor EF1B protein	scaffold361	scaffold361	AT2G26920.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026783	17318296	17321371	-	4-(cytidine 5\'-phospho)-2-C-methyl-D-erithritol kinase	scaffold361	scaffold361	AT2G26930.1	ATCDPMEK,CDPMEK,ISPE,PDE277	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026784	17327597	17329184	+	Glutathione S-transferase, C-terminal-like;Translation elongation  factor EF1B/ribosomal protein S6	scaffold361	scaffold361	AT5G12110.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026787	17359973	17362996	+	myb domain protein 65	scaffold361	scaffold361	AT3G11440.1	ATMYB65,MYB65	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026788	17365821	17369588	+	Calcineurin-like metallo-phosphoesterase superfamily protein	scaffold361	scaffold361	AT3G03305.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026789	17394834	17395418	-	F-box and associated interaction domains-containing protein	scaffold361	scaffold361	AT3G07870.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026790	17396376	17401007	-	cyclin-dependent kinase C;1	scaffold361	scaffold361	AT5G10270.1	CDKC;1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026791	17406793	17409216	+	Pentatricopeptide repeat (PPR) superfamily protein	scaffold361	scaffold361	AT1G52620.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026792	17409850	17412544	-	O-fucosyltransferase family protein	scaffold361	scaffold361	AT1G52630.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026793	17427714	17429334	-	UDP-glucosyl transferase 71B6	scaffold361	scaffold361	AT3G21780.1	UGT71B6	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026795	17444761	17446161	-	UDP-glucosyl transferase 71B1	scaffold361	scaffold361	AT3G21750.1	UGT71B1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026797	17466373	17468398	+		scaffold361	scaffold361	AT5G11280.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026798	17468967	17471300	-	Pectin lyase-like superfamily protein	scaffold361	scaffold361	AT1G80170.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026800	17482076	17482933	-	Protein of unknown function (DUF1644)	scaffold361	scaffold361	AT3G25910.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026801	17490232	17497219	+	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	scaffold361	scaffold361	AT5G24530.1	DMR6	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026802	17497719	17501789	-	transferases;nucleotidyltransferases	scaffold361	scaffold361	AT5G19485.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026803	17508445	17510205	+	Cyclin B1;4	scaffold361	scaffold361	AT2G26760.1	CYCB1;4	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026805	17520410	17521000	-	molybdopterin biosynthesis MoaE family protein	scaffold361	scaffold361	AT2G43760.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026806	17523760	17527389	-	Plant protein of unknown function (DUF936)	scaffold361	scaffold361	AT1G08760.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026807	17541598	17542710	-	purine permease 3	scaffold361	scaffold361	AT1G28220.1	ATPUP3,PUP3	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026809	17561480	17573123	-	plectin-related	scaffold361	scaffold361	AT2G26770.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026810	17596288	17596719	+	Receptor-like protein kinase-related family protein	scaffold361	scaffold361	AT1G63600.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026811	17597376	17597567	-	Pentatricopeptide repeat (PPR) superfamily protein	scaffold361	scaffold361	AT2G13600.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026812	17610202	17615361	+	laccase 14	scaffold361	scaffold361	AT5G09360.1	LAC14	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026813	17624410	17626202	+	beta-6 tubulin	scaffold361	scaffold361	AT5G12250.1	TUB6	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026814	17642423	17642794	-	RNA-binding (RRM/RBD/RNP motifs) family protein	scaffold361	scaffold361	AT5G12190.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026815	17651227	17651598	-	RNA-binding (RRM/RBD/RNP motifs) family protein	scaffold361	scaffold361	AT5G12190.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026816	17668847	17670151	-	F-box and associated interaction domains-containing protein	scaffold361	scaffold361	AT4G12560.1	CPR30	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026817	17670984	17675362	-	pyrimidine 2	scaffold361	scaffold361	AT5G12200.1	PYD2	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026818	17676952	17682467	+	las1-like family protein	scaffold361	scaffold361	AT5G12220.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10026819	17686832	17687816	+	heat shock transcription factor  B4	scaffold361	scaffold361	AT1G46264.1	AT-HSFB4,HSFB4,SCZ	1
